Player,WS,ORtg,DRtg,OWS,DWS,OBPM,DBPM,BPM,VORP,PER,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT
James Harden,15.4,120,105,11.6,3.8,8.5,1.4,9.9,7.7,29.8,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1
Karl-Anthony Towns,14,127,107,10.6,3.4,4.9,0.2,5.1,5.2,24.9,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9
LeBron James,14,118,109,11,3,7.3,1.4,8.7,8.2,28.6,3.7,22.3,13.1,44.4,1.9,2,16.1,31.6
Anthony Davis,13.7,119,102,8.8,4.9,5.3,1.4,6.7,5.9,28.9,7.7,24.8,16.5,10.8,2,5.6,8.6,30
Damian Lillard,12.6,120,109,9.9,2.7,7,0.3,7.2,6.3,25.2,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6
Giannis Antetokounmpo,11.9,116,106,8.3,3.6,5.3,0.9,6.2,5.7,27.3,6.7,25.3,16,23.7,2,3.3,11.7,31.2
LaMarcus Aldridge,10.9,118,105,7.4,3.5,4.3,-0.4,3.9,3.7,25,10.8,17.3,14,11.3,0.9,3,6.8,29.1
Nikola Jokić,10.7,121,107,7.8,2.9,5.3,1.6,6.9,5.5,24.4,9,27.9,18.5,29.6,1.8,2.1,15.5,24.2
Kevin Durant,10.4,119,107,7.5,2.9,6.7,0.6,7.3,5.5,26,1.6,19.5,11.2,25.5,1,4,12.9,30.4
Andre Drummond,10.3,113,99,4.6,5.7,1.5,1.7,3.2,3.4,22.9,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2
Clint Capela,10.2,126,101,6.2,4.1,2.4,1,3.4,2.8,24.5,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4
Chris Paul,10.2,126,105,7.5,2.7,5.2,1.8,7.1,4.2,24.4,2.3,16.7,9.5,40.9,2.6,0.6,12.5,24.5
Kyle Lowry,10.2,120,107,7,3.1,4.7,0.5,5.2,4.5,19.5,3,16.1,9.7,30.9,1.7,0.6,14.7,21.7
Russell Westbrook,10.1,109,104,5.5,4.5,4.8,1.5,6.3,6.1,24.7,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1
Steven Adams,9.7,125,107,6.7,3,1.7,-0.6,1.1,2,20.6,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7
DeMar DeRozan,9.6,114,109,6.8,2.8,3.3,-0.6,2.8,3.2,21,2.5,10.4,6.5,25,1.5,0.6,9.5,29.6
