Rk,Player,Age,Team,GP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,FG_PCT,2P_PCT,3P_PCT,FT_PCT,TS_PCT,eFG_PCT,Pos
1,Álex Abrines,24,OKC,75,8,15.1,1.5,3.9,0.4,0.9,1.1,2.9,0.5,0.6,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,0.395,0.443,0.38,0.848,0.567,0.54,G-F
2,Quincy Acy,27,BRK,70,8,19.4,1.9,5.2,0.4,1,1.5,4.2,0.7,0.9,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,0.356,0.384,0.349,0.817,0.525,0.496,F-C
3,Steven Adams,24,OKC,76,76,32.7,5.9,9.4,5.9,9.3,0,0,2.1,3.8,5.1,4,9,1.2,1.2,1,1.7,2.8,13.9,0.629,0.631,0,0.559,0.63,0.629,C
4,Bam Adebayo,20,MIA,69,19,19.8,2.5,4.9,2.5,4.8,0,0.1,1.9,2.6,1.7,3.8,5.5,1.5,0.5,0.6,1,2,6.9,0.512,0.523,0,0.721,0.57,0.512,C-F
5,Arron Afflalo,32,ORL,53,3,12.9,1.2,3.1,0.7,1.7,0.5,1.3,0.4,0.5,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4,0.401,0.413,0.386,0.846,0.516,0.485,G-F
6,Cole Aldrich,29,MIN,21,0,2.3,0.2,0.7,0.2,0.7,0,0,0.1,0.3,0.1,0.6,0.7,0.1,0.1,0,0,0.5,0.6,0.333,0.333,,0.333,0.34,0.333,C
7,LaMarcus Aldridge,32,SAS,75,75,33.5,9.2,18,8.8,16.7,0.4,1.2,4.5,5.3,3.3,5.2,8.5,2,0.6,1.2,1.5,2.1,23.1,0.51,0.526,0.293,0.837,0.57,0.52,F-C
8,Jarrett Allen,19,BRK,72,31,20,3.3,5.5,3.2,5.3,0.1,0.2,1.6,2,2,3.4,5.4,0.7,0.4,1.2,1.1,2,8.2,0.589,0.599,0.333,0.776,0.636,0.596,C-F
9,Kadeem Allen,25,BOS,18,1,5.9,0.3,1.2,0.3,0.6,0,0.6,0.4,0.5,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1,0.273,0.545,0,0.778,0.366,0.273,G
10,Tony Allen,36,NOP,22,0,12.4,2,4.1,1.8,3.6,0.2,0.5,0.5,1,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7,0.484,0.506,0.333,0.524,0.514,0.505,G-F
11,Al-Farouq Aminu,27,POR,69,67,30,3.3,8.4,1.5,3.5,1.8,4.9,0.9,1.2,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2,9.3,0.395,0.432,0.369,0.738,0.522,0.503,F
12,Justin Anderson,24,PHI,38,0,13.7,2.3,5.3,1.4,2.6,0.9,2.7,0.7,1,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2,0.431,0.535,0.33,0.737,0.54,0.515,G
13,Kyle Anderson,24,SAS,74,67,26.7,3.1,5.9,2.9,5.1,0.3,0.8,1.4,2,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,0.527,0.556,0.333,0.712,0.582,0.549,F-G
14,Ryan Anderson,29,HOU,66,50,26.1,3.1,7.3,1.2,2.1,2,5.1,1.1,1.4,1.4,3.6,5,0.9,0.4,0.3,0.6,1.9,9.3,0.431,0.539,0.386,0.774,0.592,0.568,F
15,Ike Anigbogu,19,IND,11,0,2.7,0.4,0.8,0.4,0.8,0,0,0.5,0.5,0.5,0.4,0.8,0,0.1,0.3,0.2,0.1,1.2,0.444,0.444,,0.833,0.558,0.444,F-C
16,Giannis Antetokounmpo,23,MIL,75,75,36.7,9.9,18.7,9.3,16.8,0.6,1.9,6.5,8.5,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9,0.529,0.554,0.307,0.76,0.598,0.545,F-G
17,Carmelo Anthony,33,OKC,78,78,32.1,6.1,15,3.9,8.9,2.2,6.1,1.9,2.5,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,0.404,0.437,0.357,0.767,0.503,0.476,F
18,OG Anunoby,20,TOR,74,62,20,2.2,4.7,1.2,2,1,2.7,0.5,0.8,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9,0.471,0.604,0.371,0.629,0.587,0.577,F
19,Ryan Arcidiacono,23,CHI,24,0,12.7,0.7,1.7,0.3,0.4,0.4,1.3,0.2,0.3,0,1,1,1.5,0.5,0,0.5,0.8,2,0.415,0.8,0.29,0.833,0.55,0.524,G
20,Trevor Ariza,32,HOU,67,67,33.9,4,9.7,1.5,2.8,2.5,6.9,1.1,1.3,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2,11.7,0.412,0.519,0.368,0.854,0.567,0.542,F
21,Darrell Arthur,29,DEN,19,1,7.4,1.2,2.5,0.7,1.3,0.4,1.2,0.1,0.2,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8,0.468,0.583,0.348,0.667,0.559,0.553,F
22,Jamel Artis,25,ORL,15,1,18.6,2.1,5.3,1.5,3.3,0.5,1.9,0.5,0.8,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1,0.392,0.46,0.276,0.583,0.457,0.443,G-F
23,Ömer Aşık,31,CHINOP,18,0,10.1,0.5,1.2,0.5,1.2,0,0,0.2,0.7,0.5,2.1,2.6,0.2,0.1,0.2,0.5,1.1,1.2,0.409,0.409,,0.308,0.397,0.409,C
24,D.J. Augustin,30,ORL,75,36,23.5,3.3,7.2,1.7,3.6,1.5,3.6,2.2,2.5,0.4,1.7,2.1,3.8,0.7,0,1.6,1.3,10.2,0.452,0.485,0.419,0.868,0.615,0.557,G
25,Luke Babbitt,28,ATLMIA,50,14,14.3,1.8,4.3,0.6,1.2,1.2,3.1,0.3,0.4,0.1,1.8,1.9,0.6,0.2,0.1,0.4,1.1,5.2,0.423,0.525,0.385,0.773,0.576,0.563,F
26,Dwayne Bacon,22,CHO,53,6,13.5,1.4,3.6,1.2,2.8,0.2,0.8,0.4,0.5,0.1,2.3,2.3,0.7,0.3,0,0.4,0.9,3.3,0.375,0.409,0.256,0.8,0.431,0.404,G
27,Ron Baker,24,NYK,29,1,13.3,0.7,2,0.3,0.9,0.4,1.1,0.7,0.9,0.2,0.9,1,1.6,0.9,0.2,0.6,1.1,2.4,0.339,0.346,0.333,0.769,0.504,0.432,G
28,Wade Baldwin,21,POR,7,0,11.4,2,3,1.4,2.3,0.6,0.7,0.9,1.4,0.1,1,1.1,0.7,0.3,0.1,0.6,1.7,5.4,0.667,0.625,0.8,0.6,0.748,0.762,G
29,Lonzo Ball,20,LAL,52,50,34.2,3.9,10.8,2.2,5.2,1.7,5.7,0.6,1.4,1.3,5.6,6.9,7.2,1.7,0.8,2.6,2.3,10.2,0.36,0.42,0.305,0.451,0.444,0.44,G
30,J.J. Barea,33,DAL,69,10,23.2,4.4,10,2.7,5.5,1.7,4.5,1.2,1.5,0.2,2.7,2.9,6.3,0.5,0,2.1,1.2,11.6,0.439,0.499,0.367,0.784,0.545,0.522,G
31,Harrison Barnes,25,DAL,77,77,34.2,7,15.7,5.4,11.4,1.5,4.3,3.4,4.1,1,5.1,6.1,2,0.6,0.2,1.5,1.2,18.9,0.445,0.478,0.357,0.827,0.539,0.494,F
32,Will Barton,27,DEN,81,40,33.1,5.7,12.7,3.8,7.5,1.9,5.2,2.2,2.8,0.9,4.2,5,4.1,1,0.6,1.8,2.1,15.7,0.452,0.51,0.37,0.805,0.562,0.528,G
33,Nicolas Batum,29,CHO,64,64,31,4.2,10.2,2.8,5.9,1.4,4.3,1.7,2,0.9,3.9,4.8,5.5,1,0.4,2,1.1,11.6,0.415,0.473,0.336,0.831,0.523,0.486,F-G
34,Jerryd Bayless,29,PHI,39,11,23.7,2.8,6.7,1.4,3,1.4,3.7,0.9,1.1,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9,0.416,0.474,0.37,0.795,0.546,0.519,G
35,Aron Baynes,31,BOS,81,67,18.3,2.6,5.5,2.6,5.2,0,0.3,0.7,1,1.6,3.8,5.4,1.1,0.3,0.6,1,2.5,6,0.471,0.487,0.143,0.756,0.502,0.474,C
36,Kent Bazemore,28,ATL,65,65,27.5,4.4,10.4,2.7,6.2,1.7,4.2,2.5,3.1,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9,0.42,0.438,0.394,0.796,0.547,0.5,G-F
37,Bradley Beal,24,WAS,82,82,36.3,8.3,18.1,5.9,11.6,2.4,6.5,3.6,4.5,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2,22.6,0.46,0.507,0.375,0.791,0.564,0.527,G
38,Malik Beasley,21,DEN,62,0,9.4,1.2,2.9,0.7,1.5,0.5,1.3,0.4,0.5,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,3.2,0.41,0.469,0.341,0.667,0.509,0.489,G
39,Michael Beasley,29,NYK,74,30,22.3,5.5,10.9,5.1,9.7,0.5,1.2,1.7,2.1,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2,13.2,0.507,0.52,0.395,0.78,0.556,0.528,F
40,Marco Belinelli,31,ATLPHI,80,2,24.3,4.2,9.6,2.4,4.6,1.9,4.9,1.9,2,0.3,1.6,1.9,1.9,0.8,0.2,1.2,1.1,12.1,0.441,0.509,0.377,0.908,0.581,0.539,G-F
41,Jordan Bell,23,GSW,57,13,14.2,2,3.2,2,3.2,0,0.1,0.5,0.8,1.1,2.6,3.6,1.8,0.6,1,0.9,1.6,4.6,0.627,0.641,0,0.682,0.641,0.627,F
42,DeAndre' Bembry,23,ATL,26,3,17.5,2,4.9,1.6,3.8,0.4,1.2,0.7,1.3,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2,0.414,0.429,0.367,0.576,0.477,0.457,F
43,Dragan Bender,20,PHO,82,37,25.2,2.3,5.9,0.8,2,1.4,3.9,0.5,0.6,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2,6.5,0.386,0.426,0.366,0.765,0.524,0.508,F
44,Dāvis Bertāns,25,SAS,77,10,14.1,2.1,4.8,0.9,1.5,1.2,3.3,0.5,0.6,0.2,1.8,2,1,0.3,0.4,0.5,1.2,5.9,0.44,0.588,0.373,0.816,0.588,0.568,F
45,Patrick Beverley,29,LAC,11,11,30.4,4.4,10.8,2.2,5.4,2.2,5.5,1.3,1.5,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2,0.403,0.407,0.4,0.824,0.53,0.504,G
46,Khem Birch,25,ORL,42,0,13.8,1.6,3,1.6,3,0,0,1,1.5,1.7,2.6,4.3,0.8,0.4,0.5,0.5,1.3,4.2,0.54,0.54,,0.689,0.582,0.54,C-F
